Month,Revenue,Cost_of_Production,Operating_Expenses,Net_Profit,Risk_Score,Credit_Score,Budgeted_Revenue,Budgeted_Cost_of_Production,Revenue_Variance,Cost_Variance,Profit_Margin,Revenue_Growth_Rate,Operating_Margin,Budgeted_Net_Profit,Product_Category
2021-01-31,278312.66289206204,114615.39751957852,30042.043582860304,28604.77037160026,3.689431551100056,487.59,194748.71238932686,159493.45164336156,7944.040671974138,-10464.951144573177,12.866713586999758,0.0,97.77053666866352,,Vaccines
2021-02-28,422588.7624916204,84203.62912727743,136617.30707560762,19927.253848269946,1.4244642405000942,362.41,423908.8446704677,83296.6908047451,-25954.326464344358,3376.7674977324373,3.524415852080763,84.2162038661715,54.279345610731816,,Vaccines
2021-03-31,395034.0811846103,208391.91585923856,126613.23882120794,33526.26231854398,5.235062003896715,808.58,431041.4242833216,194906.85485126678,-13178.170044459262,16687.08821721215,10.48903069684352,-15.869179395066618,61.63213688859138,,Vaccines
2021-04-30,352011.935132519,146014.5883093961,125080.14915854624,24694.142654272062,5.546701472724813,782.54,291316.0610319965,130310.15469173972,-27469.431413847764,-1542.0960452726838,7.678307208115512,-14.941339330913143,44.978234493963846,,Vaccines
2021-05-31,132943.52541832262,81884.53714751759,169907.1177459035,101279.73092104265,1.3002735327155959,441.87,144583.71503744533,102790.33061000382,-4556.490705246077,-6298.954552811416,49.90322310162275,-58.56180000007219,0.8158492423435955,,Vaccines
2021-06-30,169383.82937022715,148832.1108671343,39425.13745445054,78218.01552696359,3.713822597734867,662.99,167219.14940911852,175553.8280516856,-1543.1596813712865,-5996.4217360518305,42.18990879703116,-0.011962020568002694,72.05444815653111,,Vaccines
2021-07-31,106992.46174598817,65680.28030674078,91250.93461633775,79651.29625628352,7.975576061590309,749.47,122077.19396186344,70230.33307103787,8257.559148268152,-527.4299324150032,57.46733446243095,-23.276935346841444,30.27469065203801,,Vaccines
2021-08-31,368793.8138575483,230134.13498671007,57799.7930615583,104789.40393612342,3.4013453009615167,605.36,459400.6770117345,302459.5770558029,13813.507127727307,22623.27518644101,16.05807562473181,248.87213756137882,83.5703268662013,,Vaccines
2021-09-30,401574.5142462993,137032.3988773585,159004.78894811444,74156.13591545088,2.1957965185964943,591.31,287752.5639448717,133508.1751538902,13862.568066900114,-2490.8046348326693,25.009621422076936,-26.37592312704897,40.72390112800143,,Vaccines
2021-10-31,454606.51494883647,239112.2879131827,131086.92051052474,26761.82354735989,6.355083695626293,433.02,394966.60862960515,217691.46187044666,18897.77325781769,-22944.798258402818,8.220883755024182,11.769560200392174,55.30632933041959,,Vaccines
2021-11-30,121585.40675862697,112510.71760107875,95069.4461861466,83135.62039920993,8.43893268748838,351.21,105575.64304483168,113504.72691858475,-9907.201236988758,8166.668500446841,85.97962995420833,-84.12445827412472,22.434512372072742,,Vaccines
2021-12-31,449827.3659936354,144411.2380053843,36378.37233561296,53502.556165300986,2.977836398535929,793.47,444806.7899251339,205301.2394831267,8925.99852442821,0.0,11.463215645791305,401.1382119426409,95.97340132892087,,Vaccines
2022-01-31,363297.56190658757,210233.3991570709,68845.2293671934,67355.4598207559,5.959995329898462,795.23,513720.4783262131,186847.5037545078,-35896.67880516444,-16355.331004914844,20.18414883602581,-10.949905075406582,67.95871183651553,,Vaccines
2022-02-28,198564.1410668651,104174.60672263622,78109.06400646862,94620.94474030526,9.183537961394686,648.21,201884.76105154504,87668.5861915435,-4506.143008671736,-4915.271981334218,48.20142267675766,-63.03896138950995,44.92500631261489,,Vaccines
2022-03-31,168595.00633684656,319180.4866190637,133159.80264026418,38661.69588303833,3.6139382278465124,486.47,208670.0444298283,311001.13034680503,-8445.867663423644,-12218.51763593802,22.76799656364172,-7.27199318758356,11.689794400955071,,Vaccines
2022-04-30,147152.14722460543,270235.6723571651,162170.21431558678,16333.603022257248,6.81898371569977,492.07,184291.42188495747,297766.6581351239,0.0,-9437.727470701593,13.507206401901803,0.311262332587718,16.73134298737177,,Vaccines
2022-05-31,221269.1943692989,236337.17236445582,203112.66125423193,27812.393117260093,4.585812495362924,699.28,232309.5106859439,297995.9454956939,-4185.977477031622,7683.859396685749,13.133108918455461,32.369270015290525,20.81403979732567,,Vaccines
2022-06-30,252184.8924288422,258211.28072326028,116161.06187638878,56350.21081458357,7.538886607738454,793.41,259534.07651763168,270122.2354451952,0.0,10317.5299993989,18.513363405027114,39.873596759880094,69.73444970936859,,Vaccines
2022-07-31,317439.45189258,168825.18379603385,57809.41615757992,74910.05756595473,6.8479381750865596,787.9,242843.66268154318,177373.72629221948,16512.299327789508,-13202.91246923712,35.631220272949164,-13.544384177588297,67.89359722453877,,Vaccines
2022-08-31,195602.81111654287,321204.19799455773,169623.96621721392,75041.93546344516,5.889026546412783,728.93,204005.32705918438,310973.17997504974,-9594.89202878458,-13559.374083978113,35.48398473819503,-19.145049307704607,25.134803481011076,,Vaccines
2022-09-30,367152.4083336166,75680.18873197619,139357.50920588634,10580.86132014148,1.6231010586119272,653.12,297060.70759161277,92299.07420629408,12222.158572728737,-4273.298661726411,2.549453122678204,68.61231842244598,64.2485906127173,,Vaccines
2022-10-31,144063.55953819322,92299.57128674636,145110.56760827894,66839.47009373042,7.133294232682505,346.28,166747.5830968079,91523.15623389486,16345.591156256427,-6481.458113565598,30.18397832379087,-52.380857604567794,18.51931220689774,,Vaccines
2022-11-30,218598.6232508219,50604.08013619288,163599.0741502576,42659.12827177393,4.508067719375376,388.9,213812.36515294638,61756.31307925047,-5426.691366763423,0.0,17.703841854615394,31.521891024605154,24.398648977612442,,Vaccines
2022-12-31,251151.20947040647,121402.90825812316,127957.78813608317,32054.617370415228,3.10924815727909,794.2,268095.09362127795,151157.13166352958,12139.948465238576,0.0,10.187370561116836,15.909871702871886,60.508944290843395,,Vaccines
2023-01-31,246825.62092664762,136878.25935120697,137697.07040282403,22963.286867639818,1.442939598585751,633.54,323994.7363885712,171023.39079094393,-25737.31533184304,-9549.492593433244,7.898771940937754,12.1712884588953,68.2700660465197,,Vaccines
2023-02-28,491846.8141042518,128659.72517377154,95206.86531078267,36147.12805600974,5.913067311771115,305.06,504560.38021980267,130937.28537944984,-37872.058740604945,-3498.600554673274,8.077635728994894,43.241283459235696,89.81891199979195,,Vaccines
2023-03-31,199664.71244915208,271335.4331939433,28967.847845878212,103521.48183755715,6.6717551918999565,355.81,194463.98250249107,289135.2645376385,-15180.582325361014,-8632.48687503916,48.921109896677194,-66.74220194255741,89.12134510046143,,Vaccines
2023-04-30,359434.6171011025,160746.5279975675,43080.72671097111,37021.00908613788,1.25393961228031,664.93,305644.4738049889,139247.3803869354,10000.186265686849,-8323.292663145281,14.554382090919729,82.55798797131283,80.02291780233911,,Vaccines
2023-05-31,390183.16033742146,118897.34983695981,34312.46939564249,59691.3884044454,6.501115423333584,302.78,302361.5856554494,119131.28921130396,40110.41506551026,-9516.623274755728,13.612573583630637,10.530507838200487,74.59765966067914,,Vaccines
2023-06-30,123223.76845216595,157421.43376489327,155768.32494377324,77185.29009730247,3.5106970919063825,388.44,113496.1569943984,202390.64719538175,-10741.804361258792,4842.085007924066,69.56240301566812,-68.22774788828987,-18.37360399577592,,Vaccines
2023-07-31,400902.11241468217,92501.09170179612,95480.33897872503,43338.07310522786,7.572380986916167,601.8,369804.56686495506,93887.50579269232,3187.2635337414413,1659.5168793296134,11.372764197470627,185.36691357793464,77.43777983100335,,Vaccines
2023-08-31,140521.83711911106,276685.04933687084,93489.4657617254,81488.18248100519,2.716008532246607,680.54,167270.4934757104,264350.1574346902,-16926.384171359234,19230.193994390753,49.0905880449595,-46.74480837029335,29.837324489811785,,Vaccines
2023-09-30,110695.66630043705,70320.02938101118,185078.5322508,109579.06572099241,6.018996218905701,658.58,111226.03883223291,81582.86993418996,-10302.184590919709,-1436.363288840472,82.70353538738776,-23.361162719150993,-53.75593070671224,,Vaccines
2023-10-31,392318.942721574,328882.47016373544,69988.57393455504,30319.05137672141,3.8736386556575484,423.35,542981.0773305974,271241.8294813018,-32749.32777506766,28148.028217069754,7.161240314628403,299.89933106714096,71.70471128904612,,Vaccines
2023-11-30,452279.36300474673,242457.9701076354,88675.52316895738,47886.828197304676,10.933346399124144,691.7,406512.4552483917,240776.52484686032,16170.482098923609,1988.5345516768118,12.960133948925845,1.5413297364851006,79.245537315615,,Vaccines
2023-12-31,404507.1541460048,100585.31355253657,134351.71644142168,30268.00140498647,2.3353604374549923,430.49,487988.8163191357,112688.14067736841,6859.603723052998,-946.796043253408,9.583688937488814,-14.43804681415009,50.34015902123897,,Vaccines
2021-01-31,246684.4201493747,144557.83296381973,28198.70385505136,30891.769305118803,4.128994192342985,487.59,232532.0392150204,121117.10423816099,7803.708568541461,-7490.469928363539,10.652086721175488,0.0,91.70836022332284,,OTC Drugs
2021-02-28,395045.2397196839,83732.22067378895,146842.35273089295,16321.462185071245,1.2682301297705485,362.41,414486.5227146081,77792.92500589148,-21568.185868451623,2473.0032537414795,3.3739087626149433,101.89297371393484,72.58692192457764,,OTC Drugs
2021-03-31,332906.61998829653,265244.94773915224,125460.63300341144,43038.860904296176,6.603063227451915,808.58,377911.0480405683,234834.40874591222,-11262.116906071067,16689.035288416162,10.128251682785423,-18.520750825391488,61.31345426117209,,OTC Drugs
2021-04-30,287529.0552579731,191830.4502912216,130572.8267257113,20706.361811610714,6.4174904210097194,782.54,407227.5050670684,182988.99879003022,-21753.97903935582,-1497.875637806055,7.786107544939352,-16.09497256496206,46.28435701071795,,OTC Drugs
2021-05-31,172100.60646900098,82294.67289124684,158588.29342368396,89845.52959189437,1.5325549896137713,441.87,134133.68437742573,84146.33936704935,-4590.942289045942,-7897.311423659757,49.69468635107314,-48.860820872231145,0.6800594535048162,,OTC Drugs
2021-06-30,178380.66982176766,192493.61428039486,37584.974321056536,98266.70144213234,2.972124849154543,662.99,153097.88266826014,192898.28558405195,-1766.2704676404442,-5743.152899710346,57.37541575480882,-0.010530487572535791,79.2564027567014,,OTC Drugs
2021-07-31,127342.96788458998,69021.92811738621,86001.89552789093,76802.85790002994,10.783304229414226,749.47,108756.7246346386,52199.12356820147,9058.635166151953,-542.6762717034411,48.3771335563037,-28.28820716196065,25.479327002125967,,OTC Drugs
2021-08-31,529009.0161267205,316117.19832852215,49765.6722553817,99647.10719541907,3.3214229790822727,605.36,439554.4066337207,234032.87128008605,13749.88242265883,22536.87800162764,17.621530779854467,220.59532066078208,78.22425298474359,,OTC Drugs
2021-09-30,323406.0757266108,103103.83621177443,190186.78692327297,74357.69844919807,2.1481131654845194,591.31,377740.2027703983,135535.65657575417,16859.229104541493,-2560.6559471296396,24.537616618225098,-27.903670628746287,47.92831270111828,,OTC Drugs
2021-10-31,350380.49027402955,211364.89148282903,110906.50610602036,23264.36893156774,4.629384765243571,433.02,341691.40179679607,190988.49095819524,20415.92074061525,-19999.75973834976,7.249860057817402,13.51468941172849,53.27310424803506,,OTC Drugs
2021-11-30,124191.75372825297,108951.44638193399,96582.6373350264,96423.7477340688,11.030811447239127,351.21,110752.57327004065,99247.53750856606,-11443.110385580816,9405.879889004333,86.13359796245749,-59.35519494455486,20.975935669152573,,OTC Drugs
2021-12-31,434013.83453262236,212711.77332581748,42892.506064458124,68595.20556172807,3.3327325455410697,793.47,523634.3427547597,158982.832828594,10667.174486744821,0.0,10.039136819509224,322.90802313104837,83.17222223297294,,OTC Drugs
2022-01-31,513202.9533010919,194605.73910197144,69003.64195316675,84546.63649117331,7.1443602793732275,795.23,458677.7774751121,163429.1023734328,-30688.583689634885,-15626.340073433621,21.972291147045585,-12.208439775612929,90.48425155100921,,OTC Drugs
2022-02-28,148847.63022225,85770.3078872064,98024.84736601198,93244.84513194367,9.086822710780007,648.21,169500.3912711268,88151.18684060224,-4507.658486455784,-4296.821394403125,44.42388563507935,-47.37540638325837,49.80216238655656,,OTC Drugs
2022-03-31,205194.8560153689,312478.00831585773,179964.3538058947,35221.39975627168,3.5024780972980105,486.47,179610.5777132149,314192.9163559446,-9378.26084092581,-9470.835152387215,19.0463814559534,-6.8169300148653615,10.626192805226037,,OTC Drugs
2022-04-30,141682.35200943734,255302.2826601911,114088.71977063382,22050.33716100702,6.498058136792908,492.07,148457.1306382715,245565.90228195858,0.0,-11194.912500814542,13.265131182758342,0.3471906924290376,16.23780099813819,,OTC Drugs
2022-05-31,256382.98630528394,268712.3964709195,164687.6258692266,26694.321148193616,3.985408844879525,699.28,196859.2852283788,319731.05142018246,-3638.359588576143,6909.701395914405,16.26790584625656,29.2284498541429,15.286368244372667,,OTC Drugs
2022-06-30,313336.4279590779,231398.06788758768,123783.26707166029,45023.330043060254,6.016956938143511,793.41,309700.23743085633,296122.97247812105,0.0,12589.204032799296,17.8940218631436,32.56003021015996,61.649773961487455,,OTC Drugs
2022-07-31,326565.9924341914,213164.8145900567,55329.08537675748,81127.28833102726,7.353776064094775,787.9,248095.95609078146,198064.81295218636,17000.67836740443,-12107.033635441876,34.455905140425905,-13.760404375082187,80.89560478847257,,OTC Drugs
2022-08-31,179583.8643207456,282746.828651759,132164.9285025973,87732.00899176794,4.734063508064895,728.93,262512.56835083436,268687.6284052058,-8085.512717596364,-19783.58181120874,42.908710407126584,-24.537230973651877,31.34584772812633,,OTC Drugs
2022-09-30,352167.47539019247,79979.31190741618,140809.30881435872,9530.860267850238,1.8606001318468333,653.12,312735.13465282216,73458.01018330366,15283.963788153427,-5651.997207916656,3.1426562805904594,70.35052965884975,49.298245393194534,,OTC Drugs
2022-10-31,185044.0122260872,99794.16012412103,118919.11366897562,47344.64897110138,9.414459201004274,346.28,144737.75402135192,110776.94474973639,13128.109653704352,-9497.04754313058,29.985825766407146,-60.28336675913189,21.02085871178703,,OTC Drugs
2022-11-30,218861.4396229408,69943.27113894347,160067.3014345842,49671.734981048285,4.476247330801282,388.9,235180.8065782531,55619.10775058909,-5400.122748859968,0.0,21.12695158505617,33.391231900287785,29.43637971187129,,OTC Drugs
2022-12-31,259305.76143816495,134059.40362235886,119335.077802285,27454.137481003723,2.510711634623453,794.2,186615.51137252452,137854.49854880362,16142.889300047167,0.0,11.540756946747896,15.104249260907327,59.80015447307374,,OTC Drugs
2023-01-31,304541.95351002424,150756.59993321687,112631.96992949296,21463.388159338676,1.5460490029602632,633.54,327984.27273309295,150346.78516809802,-25372.67837232543,-8483.773710446314,6.652715139390401,11.783095853790226,47.245730470369345,,OTC Drugs
2023-02-28,406541.1005655986,135590.79140255525,101143.16633837696,34801.89414822133,5.335677031022764,305.06,393211.0386785656,123899.21383911658,-40074.75635122673,-3506.6631611395014,10.621338443385481,37.700471494706626,74.6136489735155,,OTC Drugs
2023-03-31,189047.03374450453,247255.3003149833,37718.65477416928,94146.23591757537,8.083924508526032,355.81,230085.90737803094,260638.01545484285,-14014.437631391567,-10812.058860881358,52.65299450722175,-52.56935759803922,68.13238001503949,,OTC Drugs
2023-04-30,316003.5242879487,118812.00633704527,39382.56100794558,39597.80568513154,0.9786447846727119,664.93,254851.13850248055,135409.85150063614,8240.530492179812,-9599.575873481748,10.646632440583527,69.63223646752255,75.50310795418648,,OTC Drugs
2023-05-31,391036.44678649795,97571.16226170711,31843.11553058918,46528.10256710644,5.379512680017465,302.78,292912.4959162918,153145.4014000358,37997.642710277636,-11481.189529741028,14.937392582718331,11.33650715366949,106.93446748933692,,OTC Drugs
2023-06-30,97019.7518027099,204622.9639650754,149982.8620811926,68482.79642263372,3.4015111647879372,388.44,107814.5675134912,199094.3614288109,-11950.392852740128,6167.956774150567,66.31942360261058,-69.56174934314703,-14.174750511836411,,OTC Drugs
2023-07-31,312964.5178039025,89332.70423599209,96631.02561767021,36478.564080232565,5.85637507209806,601.8,407080.72639366623,71502.41288029209,3697.317576158175,1648.549444887232,10.347436203699656,185.17440209437086,75.63634662866565,,OTC Drugs
2023-08-31,198515.07323699936,271002.06313497375,117000.9880440052,80438.93173540577,2.291670434299155,680.54,183509.4992569302,264478.84000376833,-13759.083941462628,19413.41378888858,66.07957143999425,-46.34560596548548,32.2242607779874,,OTC Drugs
2023-09-30,145693.156725902,60757.07268393348,186653.5301518598,115556.29401727077,7.861865417519176,658.58,142603.4272850802,69658.43439840784,-11751.21343653433,-1503.2064418024602,76.52115369046457,-30.06715298558215,-49.98479209518375,,OTC Drugs
2023-10-31,471048.21364532714,253563.13606350363,61006.57435429175,30339.61149678036,4.8743054734905655,423.35,424265.7972088967,312631.06213952973,-31702.014776744563,23914.581650662672,6.757117836637789,272.256361011712,86.93590788594955,,OTC Drugs
2023-11-30,509618.7353014388,195863.04949815501,97666.53580695146,61538.91412519118,9.96240887124334,691.7,513475.58635028044,269492.31553397037,16272.600560092442,2051.89579364732,11.676204662106468,1.3727767336246182,63.8946347811507,,OTC Drugs
2023-12-31,385659.87344113534,93721.61169091123,160510.89002193886,33439.97342800734,2.413777806242522,430.49,366748.64944206324,97664.03580954298,9880.567663952957,-938.8255282058999,9.897682104601722,-11.190262403203313,58.22667362273063,,OTC Drugs
2021-01-31,243592.73067727484,118737.77808873242,26947.3586413893,30681.507848014597,3.752483114815979,487.59,225756.93652117782,129028.24433069503,6789.989645060929,-9574.337721449112,12.083435453999314,0.0,98.46320742026641,,OTC Drugs
2021-02-28,416452.50403846643,80574.25214220631,124007.15972474222,22001.50449723547,1.283042894481888,362.41,373911.2789335113,75589.32661616537,-30628.56937134741,3101.63945037394,3.7753770320829996,90.74067659083858,45.33121091846045,,OTC Drugs
2021-03-31,371861.7340408109,203180.02754374922,120398.25899561642,34808.82612071749,4.91194558731405,808.58,377710.8621099401,198152.7723847676,-12893.552002307582,14908.963833767471,10.764816532089785,-14.096716552182988,57.949664319317485,,OTC Drugs
2021-04-30,363791.1150598342,169619.81446466313,101068.32269156846,24413.381992383853,4.840268507470223,782.54,237311.85093341113,137267.58168114905,-24009.7436475491,-1259.6415327266059,6.962775803137403,-12.445424727523212,36.57995448042975,,OTC Drugs
2021-05-31,110488.54700875352,76914.32480853228,157815.11128082016,97708.23952367876,1.5127125144455738,441.87,142968.24909810885,92835.60866637406,-4632.859216154275,-5084.19848327541,57.46116577444108,-62.78994561137297,0.6783226768222452,,OTC Drugs
2021-06-30,201525.7530325662,149664.94494777732,34874.65665968379,73489.52581730082,3.8377035304821017,662.99,171556.22106947773,150228.85934764388,-1773.365672275201,-7166.257391640744,47.2092594872152,-0.012701327097289897,69.08359357610024,,OTC Drugs
2021-07-31,127800.8155376771,73132.4440614167,84954.52348131445,93336.3175039601,7.659269234790106,749.47,100870.3656976768,79639.23790542841,9024.603442358874,-512.1920879381066,61.109656293831556,-21.165806014611473,25.826923880952656,,OTC Drugs
2021-08-31,398026.1395671045,220610.52006725955,49008.725023552164,118647.56820483951,3.3496527484659815,605.36,510031.7064697815,361064.4085360049,15507.380968154666,21576.511149223086,18.30994279210964,293.7550889556978,85.82809117261687,,OTC Drugs
2021-09-30,407372.66655857797,143724.33223865708,183843.07208912566,87949.97543214215,2.5886537985748292,591.31,282376.06091842864,134880.1148973311,14743.026158467666,-2669.791148579466,28.6839769886885,-22.69445503817802,43.81020219614777,,OTC Drugs
2021-10-31,419970.52032720845,273770.53409523884,135994.41911829458,22740.026982826676,5.473891357158801,433.02,398819.9454135559,189102.41538003393,20351.212825437902,-20358.95517719264,8.906054879194226,11.45100434735193,61.95606811972785,,OTC Drugs
2021-11-30,136846.56480258724,132741.07277876107,101880.30950283504,90812.94471163162,8.730007786705652,351.21,103074.03861114928,103167.04902867216,-11291.02187344437,9636.542031402869,97.5701424591462,-99.05203786047537,19.74371914997162,,OTC Drugs
2021-12-31,483066.22070036625,124024.61578779692,40586.20393033621,62883.4901295375,2.98485060746451,793.47,427150.2841915171,165751.24306255265,8032.213331012178,0.0,12.368678825393149,388.2580357202035,83.20827029623818,,OTC Drugs
2022-01-31,314269.38456075423,246106.58574748825,68802.3304983784,58767.182459130134,6.225702018973623,795.23,525975.8621370897,217811.7828802282,-35744.835331782386,-13669.203419251162,21.63854409548439,-11.556643466367571,57.20948776067334,,OTC Drugs
2022-02-28,231202.30243888308,103846.09389545397,65202.9561434474,78213.53164822358,7.413356593358359,648.21,174044.06482335803,74264.09733703558,-4003.6349588204207,-4753.22681993116,50.4883175470068,-60.45674427235277,47.37665824140669,,OTC Drugs
2022-03-31,190346.27374264682,288315.01710481255,135136.24255435242,42390.549168627535,4.1518713558580895,486.47,182121.21597325618,320519.8144968396,-10093.379447113684,-14071.423126760134,25.069537196051105,-6.615230983431399,12.655257917522954,,OTC Drugs
2022-04-30,173627.7564495446,265818.48180183687,167803.4314039272,16820.168728862176,7.997626728304532,492.07,210961.01649060284,270855.1293915044,0.0,-11116.63132025372,11.662689878957009,0.37151993723743537,13.596465838988065,,OTC Drugs
2022-05-31,241247.10387910955,281716.98895877483,223053.4071655994,31615.223644457372,4.705287922229388,699.28,273764.2565730231,304453.8755295987,-3414.7978793771936,7583.666515045572,15.133915784221202,31.195353202973326,24.445775418684462,,OTC Drugs
2022-06-30,263625.5320235875,257448.84416154833,112985.6620047589,48230.64980724557,8.131897912748949,793.41,246381.85667654302,286483.04096262925,0.0,10785.580163580891,21.266993148609018,46.15925785223676,57.23723531394485,,OTC Drugs
2022-07-31,307058.297593257,157260.76744883935,49197.67005319146,83757.45409746237,8.00523803161234,787.9,220574.3813763137,200768.73926736505,19321.030330112033,-11444.463803247674,28.9218227720352,-12.081344752308551,69.01509992685091,,OTC Drugs
